rank,estimator,cv_best_loss,cv_accuracy_estimate,is_overall_best
1,lgbm,0.16457187745483112,0.8354281225451688,True
2,rf,0.17207945236224892,0.8279205476377511,False
3,xgboost,0.17660195264280104,0.8233980473571989,False
4,lrl2,0.19754236337111436,0.8024576366288856,False
5,extra_tree,0.1990685669397374,0.8009314330602626,False
6,lrl1,0.25145326001571094,0.7485467399842891,False
