stream,week,psi,ks_statistic,ks_pvalue,accuracy,pred_positive_rate
data_drift,0,0.03557695544383613,0.07783333333333331,0.06447619540293714,0.8866666666666667,0.43666666666666665
data_drift,1,0.03882433589192275,0.04691666666666672,0.5547913198850819,0.9033333333333333,0.5033333333333333
data_drift,2,0.007167303726715424,0.03674999999999995,0.8316848473484986,0.9366666666666666,0.5066666666666667
data_drift,3,0.0559072771730229,0.06575000000000009,0.17130243046427057,0.9066666666666666,0.45666666666666667
data_drift,4,0.031554458450172906,0.049000000000000044,0.4988544126679854,0.9166666666666666,0.5266666666666666
data_drift,5,0.0655961068055487,0.06633333333333324,0.16403345718668122,0.9133333333333333,0.4533333333333333
data_drift,6,0.04062291691980666,0.08058333333333331,0.05044521014548533,0.8966666666666666,0.5333333333333333
data_drift,7,0.0414087896523381,0.04533333333333334,0.5986222973412892,0.9066666666666666,0.47333333333333333
data_drift,8,0.03730345427686768,0.07525000000000004,0.08056573202254308,0.96,0.4866666666666667
data_drift,9,0.021993953488408637,0.04783333333333328,0.5298933037361131,0.9166666666666666,0.5033333333333333
data_drift,10,0.025371315602772806,0.049416666666666664,0.48796787256799445,0.9066666666666666,0.4766666666666667
data_drift,11,0.14411188519389279,0.17441666666666666,6.839712788130633e-08,0.9266666666666666,0.6266666666666667
data_drift,12,0.5879496384217235,0.29891666666666666,1.4174578597009155e-22,0.9166666666666666,0.67
data_drift,13,1.0337734461287007,0.3978333333333333,3.0035097239118034e-40,0.9166666666666666,0.7533333333333333
data_drift,14,1.6707949502253863,0.4990833333333333,1.7163024144037747e-64,0.9433333333333334,0.8466666666666667
data_drift,15,2.7643405691811367,0.5846666666666667,1.3928048270341683e-90,0.9566666666666667,0.91
data_drift,16,3.682003531025737,0.6367499999999999,2.0603764566890955e-109,0.95,0.89
data_drift,17,4.610695174285098,0.7321666666666666,3.669388567344061e-151,0.9666666666666667,0.9466666666666667
data_drift,18,5.158078747577333,0.7780833333333333,1.4299350666755088e-175,0.9833333333333333,0.9833333333333333
data_drift,19,5.282635968222387,0.8140000000000001,2.474861509142786e-197,0.9866666666666667,0.9766666666666667
concept_drift,0,0.07018086715151495,0.08266666666666667,0.041650146233445366,0.91,0.5266666666666666
concept_drift,1,0.02268071105430526,0.03241666666666665,0.92172714592479,0.88,0.49666666666666665
concept_drift,2,0.024340589811728534,0.04025000000000001,0.7408957608577128,0.9233333333333333,0.53
concept_drift,3,0.0233571902725649,0.03541666666666665,0.8626416188705386,0.9033333333333333,0.5033333333333333
concept_drift,4,0.055289535538298705,0.04150000000000001,0.7063507232115116,0.8766666666666667,0.5
concept_drift,5,0.024842950782570976,0.033333333333333326,0.9054022479090492,0.8633333333333333,0.5333333333333333
concept_drift,6,0.027113276124727553,0.03649999999999998,0.8376761690840938,0.9266666666666666,0.5133333333333333
concept_drift,7,0.021626429616492016,0.04891666666666661,0.5010448402475992,0.8966666666666666,0.5533333333333333
concept_drift,8,0.03509583301059781,0.06233333333333335,0.21909324386423548,0.9166666666666666,0.4666666666666667
concept_drift,9,0.027268324766466828,0.06474999999999997,0.1843527640304206,0.91,0.55
concept_drift,10,0.017133757443259595,0.07150000000000001,0.109844735990828,0.9266666666666666,0.46
concept_drift,11,0.021325460079183553,0.044416666666666715,0.6243285885329543,0.9133333333333333,0.4633333333333333
concept_drift,12,0.0389024289390288,0.03875,0.7811535654025662,0.9033333333333333,0.49333333333333335
concept_drift,13,0.06736047027110767,0.04125000000000001,0.7133121279957868,0.8066666666666666,0.49333333333333335
concept_drift,14,0.036410335781626696,0.053333333333333344,0.3917074948833326,0.7433333333333333,0.5033333333333333
concept_drift,15,0.026726279758796014,0.06108333333333332,0.23891601436267604,0.71,0.5333333333333333
concept_drift,16,0.06853317000138819,0.08083333333333334,0.04931142544838731,0.68,0.5033333333333333
concept_drift,17,0.025655355036513727,0.053583333333333316,0.3859721538028173,0.6066666666666667,0.5666666666666667
concept_drift,18,0.015366805615906873,0.031333333333333435,0.9388817135278987,0.4766666666666667,0.4866666666666667
concept_drift,19,0.0474039794570512,0.06333333333333324,0.20415569365021832,0.49,0.4766666666666667
