feature,coef,abs_coef
AGST,0.48473801666894417,0.48473801666894417
Year,-0.16694885822627545,0.16694885822627545
Age,0.16694885822627506,0.16694885822627506
WinterRain,0.14997121734465405,0.14997121734465405
FrancePop,0.08014725567504924,0.08014725567504924
HarvestRain,-0.047634987880509225,0.047634987880509225
