strategy,fill_value,std,std_change_pct,corr_with_flipper,corr_change_pct
true (no missing),,801.9545356980955,0.0,0.8712017673060112,0.0
mean imputation,4216.94560669456,692.1377066483794,-13.693647727064889,0.7440620841118165,-14.593597943142903
median imputation,4050.0,696.374671627607,-13.165317904035795,0.7435979914993744,-14.6468683369665
KNN imputation (k=5),,780.7188490422465,-2.647991339978332,0.8928554040276787,2.4854904494312917
