feature,coef,abs_coef
AGST,0.4841979299856953,0.4841979299856953
Age,0.2539438602449179,0.2539438602449179
WinterRain,0.1493695713296134,0.1493695713296134
HarvestRain,-0.04797689834843461,0.04797689834843461
