model,accuracy,precision,recall,f1,roc_auc,pr_auc
majority_class_baseline,0.6143497757847534,0.0,0.0,0.0,,
logistic_regression,0.7847533632286996,0.7111111111111111,0.7441860465116279,0.7272727272727273,0.8465455780003394,0.797597539824411
random_forest,0.7713004484304933,0.7272727272727273,0.6511627906976745,0.6871165644171779,0.8049567136309624,0.771905329670685
hist_gradient_boosting,0.7892376681614349,0.782608695652174,0.627906976744186,0.6967741935483871,0.8240112035308097,0.7850370754396465
